key|category|title|summary|input|output|dependencies|reuse
ra-选题|plan|选题全生命周期|记录灵感、深化角度，并把同一选题分发为视频、文章或图文项目。|灵感、链接、目标内容形态|选题卡、立项链接、发布状态|个人定位、选题模板、工作台目录；推荐环节还需云端监测与去重脚本|workspace
ra-实操策划|plan|实操长片策划|把工具实测主题拆成可照着录制的讲解与操作步骤。|实测主题、产品、录制目标|测试题组、时间轴、口播稿、录屏清单|工作台策划模板、状态约定、录制素材|workspace
ra-hook|plan|短视频开头选型|根据场景从七类开头中选型，提供句型与容易出错的地方。|选题、观众、核心观点|开头类型、钩子草稿|宿主 Agent、技能内方法说明|method
ra-video-title|plan|视频标题候选|先锁定视频主题，再参考对标规律生成两段式标题候选。|主题、文稿、可选对标标题|8–12 个标题候选、Top 3 推荐|宿主 Agent；写入成片目录时需路径约定|method
dbs-xhs-title|plan|小红书标题公式|从内置标题公式中选择适合图文主题的表达方式。|小红书图文主题、文案|标题方案、公式选择理由|宿主 Agent、技能内标题公式|method
ra-人话|copy|中文表达精修|检查模板腔、空泛总结与机械对比，保留作者判断和事实。|中文草稿、作者表达偏好|精修文稿、具体修改|宿主 Agent、原稿与事实材料|method
ra-洗稿|copy|口播脚本改写|组合表达精修、开头和共鸣检查，生成脚本与制作交接。|已有逐字稿、口播草稿、主题笔记|新脚本、检查结果、交接稿|多个下游技能、工作台模板、去重台账|workspace
ra-video-wash-pipeline|copy|视频到脚本流水线|串联来源获取、转写、改写与入队，默认在待制作阶段交接。|视频链接或本地视频、改写目标|新脚本、标题候选、待制作交接稿|转写及改写技能、下载工具、工作台、缺失的去重脚本|workspace
dbs-ai-check|copy|文案风格诊断|按二十二类表达特征扫描文稿，默认输出诊断而不直接改写。|待检查文稿|逐处问题报告|宿主 Agent、表达规则；结果属于编辑判断|method
dbs-hook|copy|开头诊断与优化|检查已有开头是否交代利益、抓住注意力并形成继续观看的理由。|已有视频开头|问题定位、优化方案|宿主 Agent、开头与正文语境|method
dbs-resonate|copy|文稿共鸣诊断|从受众情绪与传播心理分析文稿中的表达问题。|完整文稿、受众信息|共鸣分析、修改建议|宿主 Agent；结论需真实发布数据检验|method
dbs-content|copy|内容创作诊断|在选题确定后分析内容结构、论据和表达方式。|选题、文稿、内容目标|创作建议、问题清单|宿主 Agent、配套知识材料|method
dbs-spread|copy|传播心理分析|从传播理论解释内容中的情绪、立场和讨论空间。|文章、视频文稿或内容片段|传播机制分析、讨论方向|宿主 Agent、传播理论参考|method
ra-公众号提取|media|公众号文章提取|以特定浏览器标识请求公开文章，提取正文供后续处理。|公开微信公众号文章链接|正文文本|Python 标准库、网络访问；平台页面变动会影响提取|tools
ra-逐字稿提取skill|media|视频逐字稿提取|下载来源并调用语音识别获取口播文本，供阅读或改写。|抖音、小红书链接|逐字稿文本|qushuiyin、Paraformer ASR、配套转写环境|tools
ra-video-download|media|多平台视频下载|通过下载器和平台服务把来源保存为可核验的本地媒体。|公开视频或音频链接|本地视频、音频、来源信息|yt-dlp、TikHub、FFmpeg；按平台配置访问条件|tools
ra-local-talking-head-cut|media|本地口播粗剪|先校对术语和不确定内容，再按语义剪辑、处理停顿与响度。|自录口播或讲解录屏|粗剪 MP4、剪辑与质检资料|ASR 服务、FFmpeg、本地脚本；剪前内容需要审核|tools
ai-jian-koubo|media|AI 剪口播审核|转录口播、识别口误，在网页中审核删除范围并导出剪辑工程。|口播视频|波形审核页、删除清单、FCPXML|Node.js、Python、火山 ASR、FFmpeg、浏览器|tools
video-use|media|对话式视频编辑|按对话计划完成转写、剪辑、调色、字幕及动画叠加。|视频素材、编辑要求|处理后视频、项目文件|视频工具链、转写能力；具体依赖随编辑路径变化|tools
chengfeng-videocut-skills:剪口播|media|乘风 · 口播素材粗剪|转写并识别口误，审核后剪出基础视频并重做字幕。|原始口播视频|source_cut.mp4、subtitles.srt、审核页|Node.js、Shell、ASR、FFmpeg、浏览器|tools
chengfeng-videocut-skills:口播成片|media|乘风 · 口播成片|将剪后视频、文稿和插图组织为分镜、时间线和成片。|口播稿、SRT、剪后视频、图片|分镜稿、时间线预览、最终 MP4|用户配置、HTML 动画、视频合成工具|tools
tts-skill|voice|本地克隆配音|使用固定无损参考声音生成旁白，并记录声音来源与参数。|分段文稿、声音参考|WAV 配音、voice_manifest.json|IndexTTS2 模型与 CLI、FFmpeg、作者声音配置；配置未随库提供|workspace
heygen-digital-avatar|voice|HeyGen 数字人|将经过试听确认的配音交给数字人服务，再按布局合成视频。|已确认音频、数字人身份、布局|数字人视频、合成成片|HeyGen CLI OAuth、订阅、Digital Twin、个人声音与布局资产|workspace
ra-audio-to-subtitles|voice|真实时间戳字幕|识别最终音频，再将原稿匹配到时间轴，分句并检查可读性。|最终音频或视频、准确文稿|SRT、VTT、JSON 时间轴、字幕质检|火山 Doubao ASR API Key、Python、FFmpeg|tools
skill-captions|voice|字幕样式与烧录|将已通过检查的时间轴渲染为统一外观，并验证最终画面。|字幕 JSON、视频、选定样式|带字幕视频、预览、渲染质检|已通过检查的字幕时间轴、渲染及合成工具|tools
ian-xiaohei-illustrations|visual|小黑正文插图|把文章中的流程、判断与隐喻表现为白底手绘插图。|文章、观点、配图意图|正文插图、配图计划|宿主生图能力、风格参考|tools
skill-cover|visual|注册风格封面|按已有风格、人物与比例资产生成或修改系列封面。|主题、注册风格、人物或参考封面|3:4 与 4:3 等指定封面|个人注册资产系统、人物素材、生图能力|workspace
editorial-dot-cover|visual|点阵编辑风封面|用程序构建大标题、留白和点阵矢量图标的封面。|标题、图标主题|SVG、PNG|Python、字体、SVG 渲染环境|tools
rn-cover-skill|visual|RN 编辑图解封面|生图模型画概念图，程序控制暖白背景、中文标题与网格。|标题、概念、可选副标题|5:2 SVG 与 PNG|生图能力、抠图脚本、Python、字体与浏览器渲染|tools
rn-niulai-style-image|visual|粗粝 3D 风格图像|从照片或场景描述生成粗粝低模、充气人偶质感的风格图。|照片、电影画面或场景描述|风格化图片、对照资料|生图能力、授权参考图像|tools
